ID,Song A,Song B,Votes A,Votes B,Total,Margin,Winner,,-hotdogturtle--,Advokaiser,Akkrillic,Arti,azuarc,banshiryuu,barreldragon88,Bluenugget64,cakophon,ChichiriMuyo,Citrus_,Collen,DireKrow,DoctorJimmy133,dowolf,DragonImps,FFDragon,FL81,Flamander,GameBopAdv,handsomeboy2012,Haste_2,HBJDubs,Hbthebattle,Janus5k,JONALEON1,KanzarisKelshen,kaonashi1,KCF0107,Kikoman589,loweffortmemes,Mac Arrowny,MadamEglat,malyg,missadelyn,MoonRunes,Mr Lasastryke,Mythiot,NFUN,PabloSmith,PIayer_0,Place,Plasman,Prody Parrot,pyresword,Pyromide,quantumB,Raetsel_Lapin,Raycon,rwlh,Sceptilesolar,sergiocornaga,Shonen_Bat,slykirby,Snake5555555555,Snowva,SuperNiceDog,tazzyboyishere,Team Rocket Elite,tennisboy213,th3l3fty,TheArkOfTurus,Toxtricity,trdl23,trizob,TsunamiXXVIII,UF8,xarlable,Xiahou Shake,xp1337,xx521xx,ZelRaat,Zigzagoon,Zyxyz0
56,Kirby Triple Deluxe - Moonstruck Blossom,Ciel Nosurge - CLASS::CIEL_NOSURGE;,36,13,49,23,Kirby Triple Deluxe - Moonstruck Blossom,,Kirby Triple Deluxe - Moonstruck Blossom,,Kirby Triple Deluxe - Moonstruck Blossom,Ciel Nosurge - CLASS::CIEL_NOSURGE;,Kirby Triple Deluxe - Moonstruck Blossom,Kirby Triple Deluxe - Moonstruck Blossom,,Kirby Triple Deluxe - Moonstruck Blossom,Kirby Triple Deluxe - Moonstruck Blossom,,,Kirby Triple Deluxe - Moonstruck Blossom,,Ciel Nosurge - CLASS::CIEL_NOSURGE;,Ciel Nosurge - CLASS::CIEL_NOSURGE;,,,Ciel Nosurge - CLASS::CIEL_NOSURGE;,Kirby Triple Deluxe - Moonstruck Blossom,Kirby Triple Deluxe - Moonstruck Blossom,Kirby Triple Deluxe - Moonstruck Blossom,Kirby Triple Deluxe - Moonstruck Blossom,Kirby Triple Deluxe - Moonstruck Blossom,Kirby Triple Deluxe - Moonstruck Blossom,Kirby Triple Deluxe - Moonstruck Blossom,Kirby Triple Deluxe - Moonstruck Blossom,,Kirby Triple Deluxe - Moonstruck Blossom,Kirby Triple Deluxe - Moonstruck Blossom,,Ciel Nosurge - CLASS::CIEL_NOSURGE;,Kirby Triple Deluxe - Moonstruck Blossom,,,Kirby Triple Deluxe - Moonstruck Blossom,,Kirby Triple Deluxe - Moonstruck Blossom,,Ciel Nosurge - CLASS::CIEL_NOSURGE;,Ciel Nosurge - CLASS::CIEL_NOSURGE;,Ciel Nosurge - CLASS::CIEL_NOSURGE;,Ciel Nosurge - CLASS::CIEL_NOSURGE;,,,Kirby Triple Deluxe - Moonstruck Blossom,Kirby Triple Deluxe - Moonstruck Blossom,Kirby Triple Deluxe - Moonstruck Blossom,Kirby Triple Deluxe - Moonstruck Blossom,,Kirby Triple Deluxe - Moonstruck Blossom,Kirby Triple Deluxe - Moonstruck Blossom,Kirby Triple Deluxe - Moonstruck Blossom,,Kirby Triple Deluxe - Moonstruck Blossom,,,Kirby Triple Deluxe - Moonstruck Blossom,,Ciel Nosurge - CLASS::CIEL_NOSURGE;,Ciel Nosurge - CLASS::CIEL_NOSURGE;,Ciel Nosurge - CLASS::CIEL_NOSURGE;,Ciel Nosurge - CLASS::CIEL_NOSURGE;,Kirby Triple Deluxe - Moonstruck Blossom,,Kirby Triple Deluxe - Moonstruck Blossom,,Kirby Triple Deluxe - Moonstruck Blossom,Kirby Triple Deluxe - Moonstruck Blossom,,Kirby Triple Deluxe - Moonstruck Blossom,Kirby Triple Deluxe - Moonstruck Blossom,Kirby Triple Deluxe - Moonstruck Blossom,,
57,Baldr Force - Face of Fact,Ginga Force - Zenith,25,24,49,1,Baldr Force - Face of Fact,,Baldr Force - Face of Fact,,Baldr Force - Face of Fact,Baldr Force - Face of Fact,Baldr Force - Face of Fact,Ginga Force - Zenith,,Ginga Force - Zenith,Ginga Force - Zenith,,,Ginga Force - Zenith,,Baldr Force - Face of Fact,Baldr Force - Face of Fact,,,Baldr Force - Face of Fact,Ginga Force - Zenith,Ginga Force - Zenith,Baldr Force - Face of Fact,Ginga Force - Zenith,Ginga Force - Zenith,Ginga Force - Zenith,Baldr Force - Face of Fact,Baldr Force - Face of Fact,,Baldr Force - Face of Fact,Ginga Force - Zenith,,Baldr Force - Face of Fact,Baldr Force - Face of Fact,,,Ginga Force - Zenith,,Ginga Force - Zenith,,Ginga Force - Zenith,Baldr Force - Face of Fact,Ginga Force - Zenith,Baldr Force - Face of Fact,,,Ginga Force - Zenith,Ginga Force - Zenith,Ginga Force - Zenith,Baldr Force - Face of Fact,,Baldr Force - Face of Fact,Ginga Force - Zenith,Baldr Force - Face of Fact,,Ginga Force - Zenith,,,Ginga Force - Zenith,,Baldr Force - Face of Fact,Baldr Force - Face of Fact,Ginga Force - Zenith,Baldr Force - Face of Fact,Baldr Force - Face of Fact,,Ginga Force - Zenith,,Baldr Force - Face of Fact,Ginga Force - Zenith,,Baldr Force - Face of Fact,Ginga Force - Zenith,Baldr Force - Face of Fact,,
58,Nier - Kaine ~ Salvation,Hoi AGA - Level 5: Main Theme,27,24,51,3,Nier - Kaine ~ Salvation,,Hoi AGA - Level 5: Main Theme,,Hoi AGA - Level 5: Main Theme,Nier - Kaine ~ Salvation,Hoi AGA - Level 5: Main Theme,Hoi AGA - Level 5: Main Theme,,Nier - Kaine ~ Salvation,Hoi AGA - Level 5: Main Theme,,,Hoi AGA - Level 5: Main Theme,,Nier - Kaine ~ Salvation,Nier - Kaine ~ Salvation,,,Hoi AGA - Level 5: Main Theme,Hoi AGA - Level 5: Main Theme,Hoi AGA - Level 5: Main Theme,Nier - Kaine ~ Salvation,Nier - Kaine ~ Salvation,Nier - Kaine ~ Salvation,Hoi AGA - Level 5: Main Theme,Hoi AGA - Level 5: Main Theme,Nier - Kaine ~ Salvation,,Nier - Kaine ~ Salvation,Nier - Kaine ~ Salvation,,Nier - Kaine ~ Salvation,Nier - Kaine ~ Salvation,,,Hoi AGA - Level 5: Main Theme,Hoi AGA - Level 5: Main Theme,Hoi AGA - Level 5: Main Theme,,Hoi AGA - Level 5: Main Theme,Hoi AGA - Level 5: Main Theme,Nier - Kaine ~ Salvation,Hoi AGA - Level 5: Main Theme,,Hoi AGA - Level 5: Main Theme,Nier - Kaine ~ Salvation,Hoi AGA - Level 5: Main Theme,Nier - Kaine ~ Salvation,Hoi AGA - Level 5: Main Theme,,Hoi AGA - Level 5: Main Theme,Nier - Kaine ~ Salvation,Hoi AGA - Level 5: Main Theme,,,,,Nier - Kaine ~ Salvation,Nier - Kaine ~ Salvation,Nier - Kaine ~ Salvation,Nier - Kaine ~ Salvation,Nier - Kaine ~ Salvation,Nier - Kaine ~ Salvation,Nier - Kaine ~ Salvation,,,Nier - Kaine ~ Salvation,Nier - Kaine ~ Salvation,Hoi AGA - Level 5: Main Theme,,Nier - Kaine ~ Salvation,Hoi AGA - Level 5: Main Theme,Nier - Kaine ~ Salvation,,
59,Astral Chain - Jena Anderson,Pokemon Platinum - Battle! Giratina,21,30,51,9,Pokemon Platinum - Battle! Giratina,,Pokemon Platinum - Battle! Giratina,,Pokemon Platinum - Battle! Giratina,Pokemon Platinum - Battle! Giratina,Astral Chain - Jena Anderson,Pokemon Platinum - Battle! Giratina,,Astral Chain - Jena Anderson,Pokemon Platinum - Battle! Giratina,,,Pokemon Platinum - Battle! Giratina,,Pokemon Platinum - Battle! Giratina,Astral Chain - Jena Anderson,,,Pokemon Platinum - Battle! Giratina,Pokemon Platinum - Battle! Giratina,Pokemon Platinum - Battle! Giratina,Pokemon Platinum - Battle! Giratina,Pokemon Platinum - Battle! Giratina,Astral Chain - Jena Anderson,Astral Chain - Jena Anderson,Astral Chain - Jena Anderson,Astral Chain - Jena Anderson,,Astral Chain - Jena Anderson,Pokemon Platinum - Battle! Giratina,,Astral Chain - Jena Anderson,Astral Chain - Jena Anderson,,,Pokemon Platinum - Battle! Giratina,Pokemon Platinum - Battle! Giratina,Astral Chain - Jena Anderson,,Pokemon Platinum - Battle! Giratina,Astral Chain - Jena Anderson,Astral Chain - Jena Anderson,Pokemon Platinum - Battle! Giratina,,Pokemon Platinum - Battle! Giratina,Pokemon Platinum - Battle! Giratina,Pokemon Platinum - Battle! Giratina,Pokemon Platinum - Battle! Giratina,Astral Chain - Jena Anderson,,Pokemon Platinum - Battle! Giratina,Astral Chain - Jena Anderson,Pokemon Platinum - Battle! Giratina,,,,,Astral Chain - Jena Anderson,Pokemon Platinum - Battle! Giratina,Astral Chain - Jena Anderson,Pokemon Platinum - Battle! Giratina,Astral Chain - Jena Anderson,Astral Chain - Jena Anderson,Pokemon Platinum - Battle! Giratina,,,Pokemon Platinum - Battle! Giratina,Pokemon Platinum - Battle! Giratina,Pokemon Platinum - Battle! Giratina,,Astral Chain - Jena Anderson,Astral Chain - Jena Anderson,Pokemon Platinum - Battle! Giratina,,
60,Celeste - Mirror Temple (Mirror Magic Mix),Fire Emblem: Three Houses - Chasing Daybreak (Rain),34,13,47,21,Celeste - Mirror Temple (Mirror Magic Mix),,Celeste - Mirror Temple (Mirror Magic Mix),,Celeste - Mirror Temple (Mirror Magic Mix),Celeste - Mirror Temple (Mirror Magic Mix),Celeste - Mirror Temple (Mirror Magic Mix),Fire Emblem: Three Houses - Chasing Daybreak (Rain),,,Celeste - Mirror Temple (Mirror Magic Mix),,,Celeste - Mirror Temple (Mirror Magic Mix),,Fire Emblem: Three Houses - Chasing Daybreak (Rain),Celeste - Mirror Temple (Mirror Magic Mix),,,Fire Emblem: Three Houses - Chasing Daybreak (Rain),Celeste - Mirror Temple (Mirror Magic Mix),Celeste - Mirror Temple (Mirror Magic Mix),Celeste - Mirror Temple (Mirror Magic Mix),Celeste - Mirror Temple (Mirror Magic Mix),Celeste - Mirror Temple (Mirror Magic Mix),Celeste - Mirror Temple (Mirror Magic Mix),Celeste - Mirror Temple (Mirror Magic Mix),Fire Emblem: Three Houses - Chasing Daybreak (Rain),,Fire Emblem: Three Houses - Chasing Daybreak (Rain),Celeste - Mirror Temple (Mirror Magic Mix),,Celeste - Mirror Temple (Mirror Magic Mix),Fire Emblem: Three Houses - Chasing Daybreak (Rain),,,,Celeste - Mirror Temple (Mirror Magic Mix),Fire Emblem: Three Houses - Chasing Daybreak (Rain),,Celeste - Mirror Temple (Mirror Magic Mix),Fire Emblem: Three Houses - Chasing Daybreak (Rain),Celeste - Mirror Temple (Mirror Magic Mix),Celeste - Mirror Temple (Mirror Magic Mix),,Celeste - Mirror Temple (Mirror Magic Mix),,Celeste - Mirror Temple (Mirror Magic Mix),Celeste - Mirror Temple (Mirror Magic Mix),Celeste - Mirror Temple (Mirror Magic Mix),,Celeste - Mirror Temple (Mirror Magic Mix),Celeste - Mirror Temple (Mirror Magic Mix),Celeste - Mirror Temple (Mirror Magic Mix),,,,,Fire Emblem: Three Houses - Chasing Daybreak (Rain),Celeste - Mirror Temple (Mirror Magic Mix),Fire Emblem: Three Houses - Chasing Daybreak (Rain),Celeste - Mirror Temple (Mirror Magic Mix),Celeste - Mirror Temple (Mirror Magic Mix),Celeste - Mirror Temple (Mirror Magic Mix),Fire Emblem: Three Houses - Chasing Daybreak (Rain),,,Fire Emblem: Three Houses - Chasing Daybreak (Rain),Celeste - Mirror Temple (Mirror Magic Mix),,,Fire Emblem: Three Houses - Chasing Daybreak (Rain),Celeste - Mirror Temple (Mirror Magic Mix),Celeste - Mirror Temple (Mirror Magic Mix),,
61,Beatmania IIDX 25 Cannon Ballers - Midnight Lady,Einhander - Thermosphere,23,24,47,1,Einhander - Thermosphere,,Einhander - Thermosphere,,Einhander - Thermosphere,Beatmania IIDX 25 Cannon Ballers - Midnight Lady,Beatmania IIDX 25 Cannon Ballers - Midnight Lady,Einhander - Thermosphere,,,Einhander - Thermosphere,,,Einhander - Thermosphere,,Einhander - Thermosphere,Beatmania IIDX 25 Cannon Ballers - Midnight Lady,,,Einhander - Thermosphere,Beatmania IIDX 25 Cannon Ballers - Midnight Lady,Einhander - Thermosphere,Einhander - Thermosphere,Einhander - Thermosphere,Einhander - Thermosphere,Einhander - Thermosphere,Einhander - Thermosphere,Beatmania IIDX 25 Cannon Ballers - Midnight Lady,,Einhander - Thermosphere,Beatmania IIDX 25 Cannon Ballers - Midnight Lady,,Beatmania IIDX 25 Cannon Ballers - Midnight Lady,Einhander - Thermosphere,,,,Beatmania IIDX 25 Cannon Ballers - Midnight Lady,Einhander - Thermosphere,,Einhander - Thermosphere,Beatmania IIDX 25 Cannon Ballers - Midnight Lady,Beatmania IIDX 25 Cannon Ballers - Midnight Lady,Einhander - Thermosphere,,Beatmania IIDX 25 Cannon Ballers - Midnight Lady,,Beatmania IIDX 25 Cannon Ballers - Midnight Lady,Beatmania IIDX 25 Cannon Ballers - Midnight Lady,Beatmania IIDX 25 Cannon Ballers - Midnight Lady,,Beatmania IIDX 25 Cannon Ballers - Midnight Lady,Beatmania IIDX 25 Cannon Ballers - Midnight Lady,Einhander - Thermosphere,,,,,Beatmania IIDX 25 Cannon Ballers - Midnight Lady,Beatmania IIDX 25 Cannon Ballers - Midnight Lady,Beatmania IIDX 25 Cannon Ballers - Midnight Lady,Einhander - Thermosphere,Beatmania IIDX 25 Cannon Ballers - Midnight Lady,Beatmania IIDX 25 Cannon Ballers - Midnight Lady,Einhander - Thermosphere,,,Beatmania IIDX 25 Cannon Ballers - Midnight Lady,Einhander - Thermosphere,,,Einhander - Thermosphere,Einhander - Thermosphere,Beatmania IIDX 25 Cannon Ballers - Midnight Lady,,
62,Nostalgia Op.2 - Bad End Syndrome,Final Fantasy XIV: Shadowbringers - Shadowbringers,28,21,49,7,Nostalgia Op.2 - Bad End Syndrome,,Nostalgia Op.2 - Bad End Syndrome,,,Final Fantasy XIV: Shadowbringers - Shadowbringers,Final Fantasy XIV: Shadowbringers - Shadowbringers,Nostalgia Op.2 - Bad End Syndrome,,Nostalgia Op.2 - Bad End Syndrome,Nostalgia Op.2 - Bad End Syndrome,,,Nostalgia Op.2 - Bad End Syndrome,,Final Fantasy XIV: Shadowbringers - Shadowbringers,Final Fantasy XIV: Shadowbringers - Shadowbringers,,,Nostalgia Op.2 - Bad End Syndrome,Final Fantasy XIV: Shadowbringers - Shadowbringers,Nostalgia Op.2 - Bad End Syndrome,Final Fantasy XIV: Shadowbringers - Shadowbringers,Nostalgia Op.2 - Bad End Syndrome,Final Fantasy XIV: Shadowbringers - Shadowbringers,Final Fantasy XIV: Shadowbringers - Shadowbringers,Nostalgia Op.2 - Bad End Syndrome,Nostalgia Op.2 - Bad End Syndrome,Final Fantasy XIV: Shadowbringers - Shadowbringers,Nostalgia Op.2 - Bad End Syndrome,Nostalgia Op.2 - Bad End Syndrome,,Final Fantasy XIV: Shadowbringers - Shadowbringers,Nostalgia Op.2 - Bad End Syndrome,,,,Nostalgia Op.2 - Bad End Syndrome,Nostalgia Op.2 - Bad End Syndrome,,Final Fantasy XIV: Shadowbringers - Shadowbringers,,Nostalgia Op.2 - Bad End Syndrome,,,Nostalgia Op.2 - Bad End Syndrome,Nostalgia Op.2 - Bad End Syndrome,Final Fantasy XIV: Shadowbringers - Shadowbringers,Final Fantasy XIV: Shadowbringers - Shadowbringers,Final Fantasy XIV: Shadowbringers - Shadowbringers,,Final Fantasy XIV: Shadowbringers - Shadowbringers,Nostalgia Op.2 - Bad End Syndrome,Nostalgia Op.2 - Bad End Syndrome,,Final Fantasy XIV: Shadowbringers - Shadowbringers,,,Final Fantasy XIV: Shadowbringers - Shadowbringers,,Nostalgia Op.2 - Bad End Syndrome,Final Fantasy XIV: Shadowbringers - Shadowbringers,Nostalgia Op.2 - Bad End Syndrome,Final Fantasy XIV: Shadowbringers - Shadowbringers,Nostalgia Op.2 - Bad End Syndrome,Final Fantasy XIV: Shadowbringers - Shadowbringers,,Nostalgia Op.2 - Bad End Syndrome,Nostalgia Op.2 - Bad End Syndrome,Final Fantasy XIV: Shadowbringers - Shadowbringers,,Nostalgia Op.2 - Bad End Syndrome,Nostalgia Op.2 - Bad End Syndrome,Nostalgia Op.2 - Bad End Syndrome,,
63,Resident Evil 2 - Saudade,Blade Ballet - Bitbop,21,29,50,8,Blade Ballet - Bitbop,,Blade Ballet - Bitbop,,,Resident Evil 2 - Saudade,Resident Evil 2 - Saudade,Blade Ballet - Bitbop,,Blade Ballet - Bitbop,Blade Ballet - Bitbop,,,Blade Ballet - Bitbop,,Blade Ballet - Bitbop,Resident Evil 2 - Saudade,,,Blade Ballet - Bitbop,Blade Ballet - Bitbop,Blade Ballet - Bitbop,Resident Evil 2 - Saudade,Blade Ballet - Bitbop,Resident Evil 2 - Saudade,Blade Ballet - Bitbop,Resident Evil 2 - Saudade,Blade Ballet - Bitbop,Resident Evil 2 - Saudade,Blade Ballet - Bitbop,Blade Ballet - Bitbop,,Blade Ballet - Bitbop,Resident Evil 2 - Saudade,,,,Resident Evil 2 - Saudade,Blade Ballet - Bitbop,,Blade Ballet - Bitbop,Resident Evil 2 - Saudade,Resident Evil 2 - Saudade,,,Blade Ballet - Bitbop,Blade Ballet - Bitbop,Resident Evil 2 - Saudade,Resident Evil 2 - Saudade,Resident Evil 2 - Saudade,,Blade Ballet - Bitbop,Resident Evil 2 - Saudade,Blade Ballet - Bitbop,,Resident Evil 2 - Saudade,,,Resident Evil 2 - Saudade,,Blade Ballet - Bitbop,Resident Evil 2 - Saudade,Blade Ballet - Bitbop,Blade Ballet - Bitbop,Blade Ballet - Bitbop,Blade Ballet - Bitbop,,Resident Evil 2 - Saudade,Blade Ballet - Bitbop,Blade Ballet - Bitbop,,Blade Ballet - Bitbop,Resident Evil 2 - Saudade,Resident Evil 2 - Saudade,,
64,The Ninja Warriors (Sega CD) - Daddy Mulk,Granado Espada - Rapal,19,30,49,11,Granado Espada - Rapal,,The Ninja Warriors (Sega CD) - Daddy Mulk,,,The Ninja Warriors (Sega CD) - Daddy Mulk,Granado Espada - Rapal,Granado Espada - Rapal,,Granado Espada - Rapal,The Ninja Warriors (Sega CD) - Daddy Mulk,,,The Ninja Warriors (Sega CD) - Daddy Mulk,,Granado Espada - Rapal,Granado Espada - Rapal,,,The Ninja Warriors (Sega CD) - Daddy Mulk,Granado Espada - Rapal,Granado Espada - Rapal,The Ninja Warriors (Sega CD) - Daddy Mulk,Granado Espada - Rapal,Granado Espada - Rapal,Granado Espada - Rapal,Granado Espada - Rapal,Granado Espada - Rapal,Granado Espada - Rapal,Granado Espada - Rapal,The Ninja Warriors (Sega CD) - Daddy Mulk,,Granado Espada - Rapal,Granado Espada - Rapal,,,,The Ninja Warriors (Sega CD) - Daddy Mulk,Granado Espada - Rapal,,Granado Espada - Rapal,The Ninja Warriors (Sega CD) - Daddy Mulk,Granado Espada - Rapal,,,Granado Espada - Rapal,Granado Espada - Rapal,The Ninja Warriors (Sega CD) - Daddy Mulk,,The Ninja Warriors (Sega CD) - Daddy Mulk,,The Ninja Warriors (Sega CD) - Daddy Mulk,Granado Espada - Rapal,The Ninja Warriors (Sega CD) - Daddy Mulk,,Granado Espada - Rapal,,,Granado Espada - Rapal,,Granado Espada - Rapal,The Ninja Warriors (Sega CD) - Daddy Mulk,Granado Espada - Rapal,Granado Espada - Rapal,Granado Espada - Rapal,Granado Espada - Rapal,,The Ninja Warriors (Sega CD) - Daddy Mulk,The Ninja Warriors (Sega CD) - Daddy Mulk,The Ninja Warriors (Sega CD) - Daddy Mulk,,The Ninja Warriors (Sega CD) - Daddy Mulk,The Ninja Warriors (Sega CD) - Daddy Mulk,Granado Espada - Rapal,,
65,Terraria Calamity - The Filthy Mind (Theme of the Hive Mind),Kirby's Dream Land 3 - Sand Canyon 3,33,15,48,18,Terraria Calamity - The Filthy Mind (Theme of the Hive Mind),,Kirby's Dream Land 3 - Sand Canyon 3,,Terraria Calamity - The Filthy Mind (Theme of the Hive Mind),Terraria Calamity - The Filthy Mind (Theme of the Hive Mind),Terraria Calamity - The Filthy Mind (Theme of the Hive Mind),Kirby's Dream Land 3 - Sand Canyon 3,,,Terraria Calamity - The Filthy Mind (Theme of the Hive Mind),,,Kirby's Dream Land 3 - Sand Canyon 3,,Terraria Calamity - The Filthy Mind (Theme of the Hive Mind),Terraria Calamity - The Filthy Mind (Theme of the Hive Mind),,,Terraria Calamity - The Filthy Mind (Theme of the Hive Mind),,Terraria Calamity - The Filthy Mind (Theme of the Hive Mind),Terraria Calamity - The Filthy Mind (Theme of the Hive Mind),Terraria Calamity - The Filthy Mind (Theme of the Hive Mind),Terraria Calamity - The Filthy Mind (Theme of the Hive Mind),Terraria Calamity - The Filthy Mind (Theme of the Hive Mind),Terraria Calamity - The Filthy Mind (Theme of the Hive Mind),Terraria Calamity - The Filthy Mind (Theme of the Hive Mind),,Terraria Calamity - The Filthy Mind (Theme of the Hive Mind),Terraria Calamity - The Filthy Mind (Theme of the Hive Mind),,Terraria Calamity - The Filthy Mind (Theme of the Hive Mind),Terraria Calamity - The Filthy Mind (Theme of the Hive Mind),,,Kirby's Dream Land 3 - Sand Canyon 3,Kirby's Dream Land 3 - Sand Canyon 3,Kirby's Dream Land 3 - Sand Canyon 3,,Terraria Calamity - The Filthy Mind (Theme of the Hive Mind),Kirby's Dream Land 3 - Sand Canyon 3,Terraria Calamity - The Filthy Mind (Theme of the Hive Mind),Terraria Calamity - The Filthy Mind (Theme of the Hive Mind),,Terraria Calamity - The Filthy Mind (Theme of the Hive Mind),Kirby's Dream Land 3 - Sand Canyon 3,Terraria Calamity - The Filthy Mind (Theme of the Hive Mind),Kirby's Dream Land 3 - Sand Canyon 3,Terraria Calamity - The Filthy Mind (Theme of the Hive Mind),,Kirby's Dream Land 3 - Sand Canyon 3,Kirby's Dream Land 3 - Sand Canyon 3,Kirby's Dream Land 3 - Sand Canyon 3,,,,,Kirby's Dream Land 3 - Sand Canyon 3,,Terraria Calamity - The Filthy Mind (Theme of the Hive Mind),Terraria Calamity - The Filthy Mind (Theme of the Hive Mind),Terraria Calamity - The Filthy Mind (Theme of the Hive Mind),Terraria Calamity - The Filthy Mind (Theme of the Hive Mind),Terraria Calamity - The Filthy Mind (Theme of the Hive Mind),,,Terraria Calamity - The Filthy Mind (Theme of the Hive Mind),Kirby's Dream Land 3 - Sand Canyon 3,Terraria Calamity - The Filthy Mind (Theme of the Hive Mind),,Terraria Calamity - The Filthy Mind (Theme of the Hive Mind),Kirby's Dream Land 3 - Sand Canyon 3,Terraria Calamity - The Filthy Mind (Theme of the Hive Mind),,
66,Skeleton Boomerang - Disco Necropolis,Devil Engine - Jazzy NNYC,28,20,48,8,Skeleton Boomerang - Disco Necropolis,,Devil Engine - Jazzy NNYC,,Skeleton Boomerang - Disco Necropolis,Skeleton Boomerang - Disco Necropolis,Skeleton Boomerang - Disco Necropolis,Skeleton Boomerang - Disco Necropolis,,,Devil Engine - Jazzy NNYC,,,Skeleton Boomerang - Disco Necropolis,,Devil Engine - Jazzy NNYC,Skeleton Boomerang - Disco Necropolis,,,Devil Engine - Jazzy NNYC,,Devil Engine - Jazzy NNYC,Skeleton Boomerang - Disco Necropolis,Devil Engine - Jazzy NNYC,Devil Engine - Jazzy NNYC,Skeleton Boomerang - Disco Necropolis,Skeleton Boomerang - Disco Necropolis,Devil Engine - Jazzy NNYC,,Devil Engine - Jazzy NNYC,Skeleton Boomerang - Disco Necropolis,,Devil Engine - Jazzy NNYC,Skeleton Boomerang - Disco Necropolis,,,Devil Engine - Jazzy NNYC,Skeleton Boomerang - Disco Necropolis,Devil Engine - Jazzy NNYC,,Devil Engine - Jazzy NNYC,Skeleton Boomerang - Disco Necropolis,Skeleton Boomerang - Disco Necropolis,Devil Engine - Jazzy NNYC,,Skeleton Boomerang - Disco Necropolis,Skeleton Boomerang - Disco Necropolis,Skeleton Boomerang - Disco Necropolis,Skeleton Boomerang - Disco Necropolis,Devil Engine - Jazzy NNYC,,Skeleton Boomerang - Disco Necropolis,Skeleton Boomerang - Disco Necropolis,Devil Engine - Jazzy NNYC,,,,,Skeleton Boomerang - Disco Necropolis,,Skeleton Boomerang - Disco Necropolis,Skeleton Boomerang - Disco Necropolis,Skeleton Boomerang - Disco Necropolis,Devil Engine - Jazzy NNYC,Devil Engine - Jazzy NNYC,,,Devil Engine - Jazzy NNYC,Devil Engine - Jazzy NNYC,Skeleton Boomerang - Disco Necropolis,,Skeleton Boomerang - Disco Necropolis,Skeleton Boomerang - Disco Necropolis,Skeleton Boomerang - Disco Necropolis,,
67,Ar tonelico II: Melody of Metafalica - Rustling Throb ~ Cloche,Cave Story+ - Running Hell,34,14,48,20,Ar tonelico II: Melody of Metafalica - Rustling Throb ~ Cloche,,Cave Story+ - Running Hell,,Cave Story+ - Running Hell,Ar tonelico II: Melody of Metafalica - Rustling Throb ~ Cloche,Ar tonelico II: Melody of Metafalica - Rustling Throb ~ Cloche,Ar tonelico II: Melody of Metafalica - Rustling Throb ~ Cloche,,Ar tonelico II: Melody of Metafalica - Rustling Throb ~ Cloche,Ar tonelico II: Melody of Metafalica - Rustling Throb ~ Cloche,,,Cave Story+ - Running Hell,,Ar tonelico II: Melody of Metafalica - Rustling Throb ~ Cloche,Ar tonelico II: Melody of Metafalica - Rustling Throb ~ Cloche,,,Cave Story+ - Running Hell,Cave Story+ - Running Hell,Cave Story+ - Running Hell,Ar tonelico II: Melody of Metafalica - Rustling Throb ~ Cloche,Ar tonelico II: Melody of Metafalica - Rustling Throb ~ Cloche,,Cave Story+ - Running Hell,Ar tonelico II: Melody of Metafalica - Rustling Throb ~ Cloche,Ar tonelico II: Melody of Metafalica - Rustling Throb ~ Cloche,,Ar tonelico II: Melody of Metafalica - Rustling Throb ~ Cloche,Ar tonelico II: Melody of Metafalica - Rustling Throb ~ Cloche,,Ar tonelico II: Melody of Metafalica - Rustling Throb ~ Cloche,Ar tonelico II: Melody of Metafalica - Rustling Throb ~ Cloche,,,,Ar tonelico II: Melody of Metafalica - Rustling Throb ~ Cloche,Ar tonelico II: Melody of Metafalica - Rustling Throb ~ Cloche,,Ar tonelico II: Melody of Metafalica - Rustling Throb ~ Cloche,Ar tonelico II: Melody of Metafalica - Rustling Throb ~ Cloche,Ar tonelico II: Melody of Metafalica - Rustling Throb ~ Cloche,Ar tonelico II: Melody of Metafalica - Rustling Throb ~ Cloche,,Cave Story+ - Running Hell,Ar tonelico II: Melody of Metafalica - Rustling Throb ~ Cloche,Cave Story+ - Running Hell,,Ar tonelico II: Melody of Metafalica - Rustling Throb ~ Cloche,,Ar tonelico II: Melody of Metafalica - Rustling Throb ~ Cloche,Ar tonelico II: Melody of Metafalica - Rustling Throb ~ Cloche,Ar tonelico II: Melody of Metafalica - Rustling Throb ~ Cloche,,,,Cave Story+ - Running Hell,Cave Story+ - Running Hell,,Ar tonelico II: Melody of Metafalica - Rustling Throb ~ Cloche,Cave Story+ - Running Hell,Ar tonelico II: Melody of Metafalica - Rustling Throb ~ Cloche,Ar tonelico II: Melody of Metafalica - Rustling Throb ~ Cloche,Ar tonelico II: Melody of Metafalica - Rustling Throb ~ Cloche,,,Cave Story+ - Running Hell,Ar tonelico II: Melody of Metafalica - Rustling Throb ~ Cloche,Cave Story+ - Running Hell,,Ar tonelico II: Melody of Metafalica - Rustling Throb ~ Cloche,Ar tonelico II: Melody of Metafalica - Rustling Throb ~ Cloche,Ar tonelico II: Melody of Metafalica - Rustling Throb ~ Cloche,,
